Tasks, Cycles, Workers, Time
10, 10, 1, 3049213
10, 10, 2, 3250261
10, 10, 3, 3580546
10, 10, 4, 2536244
10, 10, 5, 2506394
10, 10, 6, 3509999
10, 10, 7, 2493983
10, 10, 8, 3860109
10, 10, 9, 2560019
10, 10, 10, 4111605
10, 10, 11, 3098818
10, 10, 12, 4389627
10, 10, 13, 3941768
10, 10, 14, 4770190
10, 10, 15, 4607177
10, 10, 16, 4606422
10, 10, 17, 3545111
10, 10, 18, 3864750
10, 10, 19, 5048495
10, 10, 20, 4014392
10, 10, 21, 5138169
10, 10, 22, 3872505
10, 10, 23, 4758412
10, 10, 24, 5318610
10, 10, 25, 5738726
10, 10, 26, 5555994
10, 10, 27, 5736170
10, 10, 28, 4687357
10, 10, 29, 3511361
10, 10, 30, 3617106
10, 10, 31, 4011044
10, 10, 32, 3138025
10, 10, 33, 3571942
10, 10, 34, 3287959
10, 10, 35, 5581795
10, 10, 36, 3873689
10, 10, 37, 5081962
10, 10, 38, 5936167
10, 10, 39, 4812447
10, 10, 40, 5645552
10, 10, 41, 6008701
10, 10, 42, 6219640
10, 10, 43, 6617894
10, 10, 44, 6371532
10, 10, 45, 5772312
10, 10, 46, 6904689
10, 10, 47, 7131770
10, 10, 48, 5953989
10, 10, 49, 6912750
10, 10, 50, 7105291
10, 10, 51, 6950809
10, 10, 52, 6761675
10, 10, 53, 5615948
10, 10, 54, 4995443
10, 10, 55, 7092812
10, 10, 56, 4797970
10, 10, 57, 5374590
10, 10, 58, 7418360
10, 10, 59, 7957841
10, 10, 60, 7299361
10, 10, 61, 7449233
10, 10, 62, 7528712
10, 10, 63, 8136955
10, 10, 64, 7490267
10, 10, 65, 7959301
10, 10, 66, 6361776
10, 10, 67, 8466495
10, 10, 68, 7206473
10, 10, 69, 8427134
10, 10, 70, 7096152
10, 10, 71, 8685925
10, 10, 72, 8762026
10, 10, 73, 7589328
10, 10, 74, 8618722
10, 10, 75, 7451883
10, 10, 76, 7795025
10, 10, 77, 7661049
10, 10, 78, 8894686
10, 10, 79, 8566646
10, 10, 80, 8414284
10, 10, 81, 8496061
10, 10, 82, 8906513
10, 10, 83, 9254398
10, 10, 84, 8857076
10, 10, 85, 7767958
10, 10, 86, 9281781
10, 10, 87, 9945302
10, 10, 88, 7358410
10, 10, 89, 9345987
10, 10, 90, 9506341
10, 10, 91, 8307161
10, 10, 92, 9645426
10, 10, 93, 9693401
10, 10, 94, 8689786
10, 10, 95, 9592937
10, 10, 96, 9849893
10, 10, 97, 9492077
10, 10, 98, 9967391
10, 10, 99, 10119156
10, 10, 100, 9452731
10, 10, 101, 10469789
10, 10, 102, 10633029
10, 10, 103, 10688134
10, 10, 104, 9984059
10, 10, 105, 10899970
10, 10, 106, 9383884
10, 10, 107, 10184018
10, 10, 108, 9088438
10, 10, 109, 10557236
10, 10, 110, 11229817
10, 10, 111, 10351899
10, 10, 112, 10982723
10, 100, 1, 4368394
10, 100, 2, 3137724
10, 100, 3, 3337411
10, 100, 4, 3526086
10, 100, 5, 3415667
10, 100, 6, 3605086
10, 100, 7, 3669157
10, 100, 8, 3802246
10, 100, 9, 2707884
10, 100, 10, 3883137
10, 100, 11, 3298040
10, 100, 12, 2878970
10, 100, 13, 4425894
10, 100, 14, 3546648
10, 100, 15, 3139182
10, 100, 16, 4471666
10, 100, 17, 3599220
10, 100, 18, 4856733
10, 100, 19, 5053550
10, 100, 20, 3963926
10, 100, 21, 4949163
10, 100, 22, 4613643
10, 100, 23, 5601509
10, 100, 24, 5190862
10, 100, 25, 5542568
10, 100, 26, 5247331
10, 100, 27, 5656567
10, 100, 28, 5407482
10, 100, 29, 5572047
10, 100, 30, 5104536
10, 100, 31, 4653872
10, 100, 32, 4631207
10, 100, 33, 5852508
10, 100, 34, 5888124
10, 100, 35, 5794676
10, 100, 36, 6078349
10, 100, 37, 6244777
10, 100, 38, 6321233
10, 100, 39, 6168429
10, 100, 40, 6073247
10, 100, 41, 6375535
10, 100, 42, 6378914
10, 100, 43, 4986037
10, 100, 44, 6455204
10, 100, 45, 4414454
10, 100, 46, 6919681
10, 100, 47, 4185931
10, 100, 48, 6448263
10, 100, 49, 6816217
10, 100, 50, 5987215
10, 100, 51, 6594133
10, 100, 52, 6933859
10, 100, 53, 7262565
10, 100, 54, 7852134
10, 100, 55, 7848371
10, 100, 56, 7298036
10, 100, 57, 7679290
10, 100, 58, 7700138
10, 100, 59, 7392703
10, 100, 60, 8245886
10, 100, 61, 7844274
10, 100, 62, 8701506
10, 100, 63, 7281992
10, 100, 64, 8068227
10, 100, 65, 8439996
10, 100, 66, 6069598
10, 100, 67, 8227610
10, 100, 68, 5807834
10, 100, 69, 8357972
10, 100, 70, 8289948
10, 100, 71, 7983196
10, 100, 72, 8475287
10, 100, 73, 8350049
10, 100, 74, 8412622
10, 100, 75, 8109316
10, 100, 76, 6870994
10, 100, 77, 8473380
10, 100, 78, 7876421
10, 100, 79, 9337107
10, 100, 80, 8751094
10, 100, 81, 8782427
10, 100, 82, 8892168
10, 100, 83, 7847473
10, 100, 84, 8781003
10, 100, 85, 8526072
10, 100, 86, 9057268
10, 100, 87, 7464368
10, 100, 88, 5834264
10, 100, 89, 9347888
10, 100, 90, 8871966
10, 100, 91, 9942139
10, 100, 92, 8161639
10, 100, 93, 9451459
10, 100, 94, 9813794
10, 100, 95, 10327525
10, 100, 96, 9650813
10, 100, 97, 10430617
10, 100, 98, 8585598
10, 100, 99, 9501259
10, 100, 100, 8181493
10, 100, 101, 10295695
10, 100, 102, 8151687
10, 100, 103, 7294921
10, 100, 104, 10379173
10, 100, 105, 9240297
10, 100, 106, 9633439
10, 100, 107, 11269077
10, 100, 108, 9930246
10, 100, 109, 11116768
10, 100, 110, 10228347
10, 100, 111, 11042270
10, 100, 112, 8629904
10, 1000, 1, 17379054
10, 1000, 2, 10848424
10, 1000, 3, 5679687
10, 1000, 4, 5453072
10, 1000, 5, 4043907
10, 1000, 6, 3712109
10, 1000, 7, 3810536
10, 1000, 8, 4179740
10, 1000, 9, 4396382
10, 1000, 10, 3444983
10, 1000, 11, 4530275
10, 1000, 12, 4655283
10, 1000, 13, 4713310
10, 1000, 14, 4168137
10, 1000, 15, 5023334
10, 1000, 16, 5040356
10, 1000, 17, 4204277
10, 1000, 18, 5408025
10, 1000, 19, 5321285
10, 1000, 20, 5197047
10, 1000, 21, 5346515
10, 1000, 22, 5373665
10, 1000, 23, 4342131
10, 1000, 24, 5269437
10, 1000, 25, 4029773
10, 1000, 26, 5691991
10, 1000, 27, 5225589
10, 1000, 28, 5970931
10, 1000, 29, 5410796
10, 1000, 30, 5733433
10, 1000, 31, 6078623
10, 1000, 32, 4817745
10, 1000, 33, 6332688
10, 1000, 34, 6183255
10, 1000, 35, 4980291
10, 1000, 36, 6098448
10, 1000, 37, 5000322
10, 1000, 38, 6304009
10, 1000, 39, 6339698
10, 1000, 40, 6334667
10, 1000, 41, 6526469
10, 1000, 42, 6649874
10, 1000, 43, 6433553
10, 1000, 44, 6913987
10, 1000, 45, 6638855
10, 1000, 46, 5843677
10, 1000, 47, 7019726
10, 1000, 48, 5479235
10, 1000, 49, 6775900
10, 1000, 50, 5960421
10, 1000, 51, 6823378
10, 1000, 52, 5751081
10, 1000, 53, 7227213
10, 1000, 54, 6105620
10, 1000, 55, 7403094
10, 1000, 56, 7859573
10, 1000, 57, 7005647
10, 1000, 58, 8033424
10, 1000, 59, 7330568
10, 1000, 60, 8758709
10, 1000, 61, 8250780
10, 1000, 62, 8164016
10, 1000, 63, 7792370
10, 1000, 64, 7796005
10, 1000, 65, 7627977
10, 1000, 66, 8122804
10, 1000, 67, 9368029
10, 1000, 68, 8403356
10, 1000, 69, 5698841
10, 1000, 70, 8117024
10, 1000, 71, 8260921
10, 1000, 72, 8823819
10, 1000, 73, 8802217
10, 1000, 74, 8540024
10, 1000, 75, 8185234
10, 1000, 76, 8714267
10, 1000, 77, 8773199
10, 1000, 78, 8930576
10, 1000, 79, 8960666
10, 1000, 80, 9048898
10, 1000, 81, 9177113
10, 1000, 82, 9758191
10, 1000, 83, 9425929
10, 1000, 84, 8853274
10, 1000, 85, 10145376
10, 1000, 86, 9925672
10, 1000, 87, 9280228
10, 1000, 88, 9100749
10, 1000, 89, 10069702
10, 1000, 90, 9307752
10, 1000, 91, 10074121
10, 1000, 92, 8598059
10, 1000, 93, 8595165
10, 1000, 94, 10475082
10, 1000, 95, 10122414
10, 1000, 96, 8857396
10, 1000, 97, 10572828
10, 1000, 98, 11018493
10, 1000, 99, 7931656
10, 1000, 100, 10667624
10, 1000, 101, 9669241
10, 1000, 102, 8526364
10, 1000, 103, 8551493
10, 1000, 104, 11453876
10, 1000, 105, 9611370
10, 1000, 106, 11030648
10, 1000, 107, 10858087
10, 1000, 108, 11211389
10, 1000, 109, 9662582
10, 1000, 110, 8137160
10, 1000, 111, 8140091
10, 1000, 112, 11040132
10, 10000, 1, 59992584
10, 10000, 2, 38379314
10, 10000, 3, 29725676
10, 10000, 4, 21261403
10, 10000, 5, 15821719
10, 10000, 6, 21673742
10, 10000, 7, 16776701
10, 10000, 8, 8930103
10, 10000, 9, 8603635
10, 10000, 10, 15932990
10, 10000, 11, 9246565
10, 10000, 12, 9723235
10, 10000, 13, 14689233
10, 10000, 14, 11183176
10, 10000, 15, 12605205
10, 10000, 16, 8863531
10, 10000, 17, 7819551
10, 10000, 18, 8061887
10, 10000, 19, 8673191
10, 10000, 20, 8684295
10, 10000, 21, 10792263
10, 10000, 22, 10835041
10, 10000, 23, 12175146
10, 10000, 24, 10388053
10, 10000, 25, 12476208
10, 10000, 26, 11824835
10, 10000, 27, 11937216
10, 10000, 28, 12951304
10, 10000, 29, 11581696
10, 10000, 30, 12843627
10, 10000, 31, 14386498
10, 10000, 32, 12402088
10, 10000, 33, 13222131
10, 10000, 34, 12821063
10, 10000, 35, 13150948
10, 10000, 36, 13097315
10, 10000, 37, 14073171
10, 10000, 38, 13672204
10, 10000, 39, 12557755
10, 10000, 40, 13678321
10, 10000, 41, 13157740
10, 10000, 42, 14815961
10, 10000, 43, 14679810
10, 10000, 44, 15914793
10, 10000, 45, 14923956
10, 10000, 46, 14524169
10, 10000, 47, 14671505
10, 10000, 48, 20004376
10, 10000, 49, 7308995
10, 10000, 50, 8412750
10, 10000, 51, 10854369
10, 10000, 52, 12208176
10, 10000, 53, 13907325
10, 10000, 54, 16171018
10, 10000, 55, 16093086
10, 10000, 56, 14639095
10, 10000, 57, 14418665
10, 10000, 58, 15692634
10, 10000, 59, 16179483
10, 10000, 60, 15393940
10, 10000, 61, 15468360
10, 10000, 62, 18739600
10, 10000, 63, 15526215
10, 10000, 64, 17184466
10, 10000, 65, 14902376
10, 10000, 66, 14949682
10, 10000, 67, 15191591
10, 10000, 68, 15893739
10, 10000, 69, 17954545
10, 10000, 70, 15736553
10, 10000, 71, 16266842
10, 10000, 72, 16333020
10, 10000, 73, 17418227
10, 10000, 74, 16235406
10, 10000, 75, 14189827
10, 10000, 76, 16831519
10, 10000, 77, 16686602
10, 10000, 78, 13882196
10, 10000, 79, 16343679
10, 10000, 80, 16021714
10, 10000, 81, 16996007
10, 10000, 82, 16139983
10, 10000, 83, 16992223
10, 10000, 84, 19407562
10, 10000, 85, 14457316
10, 10000, 86, 15068165
10, 10000, 87, 17754888
10, 10000, 88, 18171464
10, 10000, 89, 15125206
10, 10000, 90, 18113698
10, 10000, 91, 19543920
10, 10000, 92, 19573898
10, 10000, 93, 15899405
10, 10000, 94, 18037101
10, 10000, 95, 17933719
10, 10000, 96, 16037887
10, 10000, 97, 19270093
10, 10000, 98, 14606219
10, 10000, 99, 17332019
10, 10000, 100, 16907675
10, 10000, 101, 19368779
10, 10000, 102, 16357407
10, 10000, 103, 17911379
10, 10000, 104, 15540182
10, 10000, 105, 19159921
10, 10000, 106, 20195034
